actor,movie_or_TV_name
Ian Holm,The Aviator
Ian Holm,Garden State
Ian Holm,D-Day 6.6.1944
Ian Holm,The Day After Tomorrow
Ian Holm,The Last Dragon
Ian Holm,The Beast Within: Making 'Alien'
Ian Holm,The Lord of the Rings: The Return of the King
Christopher Lee,Peter Cushing: In His Own Words
Christopher Lee,Drácula Barcelona
Christopher Lee,Dark Glamour: The Blood and Guts of Hammer Productions
Christopher Lee,Angels in Notting Hill
Christopher Lee,Fifty Shades of Erotica
Christopher Lee,The Hobbit: The Battle of the Five Armies
Christopher Lee,Face of Unity
Christopher Lee,The Trail of Dracula
Christopher Lee,The Girl from Nagasaki
Christopher Lee,Necessary Evil: Super-Villains of DC Comics
Christopher Lee,Kingdom Hearts 358/2 Days
Christopher Lee,Night Train to Lisbon
Christopher Lee,Extraordinary Tales
Christopher Lee,Christopher Lee - A Legacy Of Horror & Terror
Cate Blanchett,Parklands
Cate Blanchett,Bordertown
Cate Blanchett,Inside the Actors Studio
Cate Blanchett,Heartland
Cate Blanchett,Police Rescue: The Movie
Cate Blanchett,GMTV
Cate Blanchett,The Tonight Show with Jay Leno
Cate Blanchett,Police Rescue
Cate Blanchett,Crabs
Cate Blanchett,The Simpsons
Cate Blanchett,LIVE with Kelly and Ryan
Cate Blanchett,Wanna Bet?
Cate Blanchett,AACTA Awards
Cate Blanchett,Goldene Kamera Verleihung
Cate Blanchett,The Oscars
Cate Blanchett,Today
Hugo Weaving,The Matrix Revisited
Hugo Weaving,Russian Doll
Hugo Weaving,The Old Man Who Read Love Stories
Hugo Weaving,The Magic Pudding
Hugo Weaving,Strange Planet
Hugo Weaving,Making 'The Matrix'
Hugo Weaving,The Matrix
Hugo Weaving,Babe: Pig in the City
Hugo Weaving,Bedrooms and Hallways
Hugo Weaving,The Interview
Hugo Weaving,The Kiss
Hugo Weaving,The View
Hugo Weaving,True Love and Chaos
Hugo Weaving,Frontier
Hugo Weaving,The Bite
Hugo Weaving,Wild Australia: The Edge
Ian Holm,Days That Shook the World
Ian Holm,Monsters We Met
Ian Holm,Prisoner of Paradise
Ian Holm,The Lord of the Rings: The Fellowship of the Ring
Ian Holm,From Hell
Ian Holm,Secret Agent
Ian Holm,The Emperor's New Clothes
Ian Holm,Esther Kahn
Ian Holm,The Last of the Blonde Bombshells
Ian Holm,Bless the Child
Ian Holm,Beautiful Joe
Ian Holm,The Miracle Maker
Ian Holm,Joe Gould's Secret
Ian Holm,Animal Farm
Ian Holm,Wisconsin Death Trip
Ian Holm,The Match
Ian Holm,Shergar
Christopher Lee,The Hobbit: An Unexpected Journey
Christopher Lee,The Fall Of The House Of Usher
Christopher Lee,Top Gear: 50 Years of Bond Cars
Christopher Lee,Dracula vs. Vampir
Christopher Lee,Everything or Nothing
Christopher Lee,Frankenweenie
Christopher Lee,The Complete Bob Wilkins Creature Features
Christopher Lee,Dark Shadows
Christopher Lee,Back to Black: The Making of Dracula Prince of Darkness
Christopher Lee,Enzo Ferrari 1898 - 1988
Christopher Lee,Hugo
Christopher Lee,The Wicker Tree
Christopher Lee,The Resident
Christopher Lee,Season of the Witch
Hugo Weaving,Bordertown
Hugo Weaving,Babe
Hugo Weaving,Halifax f.p.
Hugo Weaving,Ladies Please!
Hugo Weaving,"The Adventures of Priscilla, Queen of the Desert"
Hugo Weaving,The Forgotten Force
Hugo Weaving,The Custodian
Hugo Weaving,Frauds
Hugo Weaving,Reckless Kelly
Hugo Weaving,Road to Alice
Hugo Weaving,Proof
Hugo Weaving,Wendy Cracked a Walnut
Hugo Weaving,Bangkok Hilton
Hugo Weaving,Dadah Is Death
Hugo Weaving,The Dirtwater Dynasty
Hugo Weaving,The Right Hand Man
Hugo Weaving,For Love Alone
Ian Holm,eXistenZ
Ian Holm,Shanghai Vice
Ian Holm,Simon Magus
Ian Holm,Alice Through the Looking Glass
Ian Holm,King Lear
Ian Holm,Incognito
Ian Holm,A Life Less Ordinary
Ian Holm,The Sweet Hereafter
Ian Holm,The Fifth Element
Ian Holm,Night Falls on Manhattan
Ian Holm,Big Night
Ian Holm,Loch Ness
Ian Holm,Landscape
Ian Holm,The Madness of King George
Ian Holm,The Deep Blue Sea
Ian Holm,Mary Shelley's Frankenstein
Ian Holm,Mustang: The Hidden Kingdom
Christopher Lee,Christopher Lee - Gentleman des Grauens
Christopher Lee,Burke & Hare
Christopher Lee,Halloween: The Inside Story
Christopher Lee,The Heavy
Christopher Lee,Alice in Wonderland
Christopher Lee,Glorious 39
Christopher Lee,Triage
Christopher Lee,Boogie Woogie
Christopher Lee,The Nightmare Before Christmas: The Original Poem
Christopher Lee,Star Wars: The Clone Wars
Christopher Lee,The Colour of Magic
Christopher Lee,Fanex Files: Hammer Films
Christopher Lee,The Golden Compass
Hugo Weaving,Bodyline
Hugo Weaving,The City's Edge
Hugo Weaving,...Maybe This Time
Ian Holm,The Borrowers
Ian Holm,The Return of the Borrowers
Ian Holm,The Hour of The Pig
Ian Holm,The World of Peter Rabbit and Friends
Ian Holm,The Borrowers
Ian Holm,Blue Ice
Ian Holm,The Last Romantics
Ian Holm,Elizabeth R: A Year in the Life of The Queen
Ian Holm,Naked Lunch
Ian Holm,Kafka
Ian Holm,A Season of Giants
Ian Holm,Uncle Vanya
Ian Holm,Performance
Ian Holm,Hamlet
Ian Holm,Chillers
Christopher Lee,Tasmanian Devil: The Fast and Furious Life of Errol Flynn
Christopher Lee,The Alan Titchmarsh Show
Christopher Lee,Amazon Trek: In Search of Vanishing Secrets
Christopher Lee,Rhapsody of Fire: Visions from the Enchanted Lands
Christopher Lee,Famous Monster: Forrest J Ackerman
Christopher Lee,Hollywood Chinese
Christopher Lee,Ein Leben wie im Flug
Christopher Lee,Beloved Count
Christopher Lee,Bloody Jess
Christopher Lee,The Making of The Fellowship of the Ring
Christopher Lee,Witch's Dungeon: 40 Years of Chills
Christopher Lee,Pope John Paul II
Christopher Lee,The Adventures of Greyfriars Bobby
Christopher Lee,Corpse Bride
Christopher Lee,Charlie and the Chocolate Factory
Christopher Lee,Star Wars: Episode III - Revenge of the Sith
Christopher Lee,The Story of Star Wars
Jo Surgison,The Lord of the Rings: The Fellowship of the Ring
Tim Wong,Fantasy Island
Tim Wong,The Meg
Tim Wong,Do No Harm
Tim Wong,Black Sheep
Tim Wong,The X Team
Tim Wong,The Lord of the Rings: The Two Towers
Tim Wong,The Lord of the Rings: The Fellowship of the Ring
Ian Holm,Henry V
Ian Holm,The Endless Game
Ian Holm,The Kingdom of Fun
Ian Holm,Another Woman
Ian Holm,"Game, Set, and Match"
Ian Holm,Murder by the Book
Ian Holm,The Browning Version
Ian Holm,Mr. and Mrs. Edgehill
Ian Holm,Dreamchild
Ian Holm,Laughterhouse
Ian Holm,Wetherby
Ian Holm,Dance with a Stranger
Ian Holm,Brazil
Ian Holm,Screen Two
Ian Holm,The Cost of Treachery
Ian Holm,"Greystoke: The Legend of Tarzan, Lord of the Apes"
Christopher Lee,Crimson Rivers II: Angels of the Apocalypse
Christopher Lee,Willkommen bei Carmen Nebel
Christopher Lee,The Lord of the Rings: The Return of the King
Christopher Lee,Drácula en la Hammer
Christopher Lee,Whales of Atlantis: In Search of Moby Dick
Christopher Lee,The Lord of the Rings: The Two Towers
Christopher Lee,Best Ever Bond
Christopher Lee,From Puppets to Pixels: Digital Characters in 'Episode II'
Christopher Lee,Bond Girls Are Forever
Christopher Lee,Perversion Stories
Christopher Lee,Top Gear
Christopher Lee,Star Wars: Episode II - Attack of the Clones
Christopher Lee,Burnt Offering: The Cult of The Wicker Man
Ian Holm,Bette Davis: A Basically Benevolent Volcano
Ian Holm,Natural World
Ian Holm,The Return of the Soldier
Ian Holm,Soft Targets
Ian Holm,Inside the Third Reich
Ian Holm,Time Bandits
Ian Holm,Chariots of Fire
Ian Holm,S.O.S. Titanic
Ian Holm,The Misanthrope
Ian Holm,All Quiet on the Western Front
Ian Holm,Alien
Ian Holm,Tales of the Unexpected
Ian Holm,Les Misérables
Ian Holm,The Lost Boys
Ian Holm,The Lost Boys
Ian Holm,Holocaust
Ian Holm,The Thief of Baghdad
Christopher Lee,Beyond the Movie: The Fellowship of the Ring
Christopher Lee,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,A Passage to Middle-earth: Making of 'Lord of the Rings'
Christopher Lee,Quest for the Ring
Christopher Lee,R2-D2: Beneath the Dome
Christopher Lee,The Wicker Man Enigma
Christopher Lee,The Devil's Island: Journey Into Jungle Alcatraz
Christopher Lee,Ghost Stories for Christmas
Christopher Lee,In the Beginning
Christopher Lee,Sleepy Hollow: Behind the Legend
Christopher Lee,Inside 'The Man with the Golden Gun'
Christopher Lee,Gormenghast
Christopher Lee,Ian Fleming: 007's Creator
Ken Stratton,The Lord of the Rings: The Fellowship of the Ring
Ian Holm,March or Die
Ian Holm,The Man in the Iron Mask
Ian Holm,Jesus of Nazareth
Ian Holm,Shout at the Devil
Ian Holm,Robin and Marian
Ian Holm,The Wood Demon
Ian Holm,Juggernaut
Ian Holm,Napoleon and Love
Ian Holm,NOVA
Ian Holm,The Lives of Benjamin Franklin
Ian Holm,The Homecoming
Ian Holm,Young Winston
Ian Holm,The Frighteners
Ian Holm,"Mary, Queen of Scots"
Ian Holm,Nicholas and Alexandra
Ian Holm,A Severed Head
Christopher Lee,The Adventures of Young Indiana Jones: Adventures in the Secret Service
Christopher Lee,Sleepy Hollow
Christopher Lee,The Adventures of Young Indiana Jones
Christopher Lee,Jinnah
Christopher Lee,Tale of the Mummy
Christopher Lee,The Mummy
Christopher Lee,Soul Music
Christopher Lee,The Odyssey
Christopher Lee,Wyrd Sisters
Christopher Lee,Soul Music
Christopher Lee,Ivanhoe
Christopher Lee,Ivanhoe
Christopher Lee,Welcome to the Discworld
Christopher Lee,100 Years of Horror
Ian Holm,Play for Today
Ian Holm,Moonlight on the Highway
Ian Holm,Oh! What a Lovely War
Ian Holm,Edward the Confessor
Ian Holm,The Fixer
Ian Holm,A Midsummer Night's Dream
Ian Holm,The Bofors Gun
Ian Holm,Opus
Ian Holm,Mystery and Imagination
Ian Holm,Play of the Month
Ian Holm,The Wars of the Roses
Ian Holm,The Paradise Suite
Ian Holm,The Cherry Orchard
Ian Holm,Tony Awards
Ian Holm,Hallmark Hall of Fame
Christopher Lee,In Search of Dracula with Jonathan Ross
Christopher Lee,The Stupids
Christopher Lee,In the Footsteps of Sherlock Holmes
Christopher Lee,The Man Who Ruined the British Film Industry
Christopher Lee,Alisea and the Dream Prince
Christopher Lee,Sorellina e il principe del sogno
Christopher Lee,A Century of Science Fiction
Christopher Lee,The Many Faces of Christopher Lee
Christopher Lee,A Pleasant Terror: The Life and Ghosts of M.R. James
Christopher Lee,Moses
Christopher Lee,In Search of James Bond with Jonathan Ross
Christopher Lee,Tales of Mystery and Imagination
Christopher Lee,A Feast At Midnight
Christopher Lee,The World of Hammer: Dracula and the Undead
Christopher Lee,The World of Hammer
Christopher Lee,Flesh and Blood: The Hammer Heritage of Horror
Christopher Lee,Funny Man
Christopher Lee,Police Academy: Mission to Moscow
Christopher Lee,The Rainbow Thief
Christopher Lee,Blue Heelers
Christopher Lee,Death Train
Christopher Lee,Cyber Eden
Christopher Lee,Double Vision
Christopher Lee,The Young Indiana Jones Chronicles
Christopher Lee,Sherlock Holmes: Incident at Victoria Falls
Christopher Lee,Sherlock Holmes and the Leading Lady
Christopher Lee,Fear in the Dark
Christopher Lee,Curse III: Blood Sacrifice
Christopher Lee,Journey of Honor
Christopher Lee,The Care of Time
Christopher Lee,Gremlins 2: The New Batch
Christopher Lee,The Miser
Christopher Lee,Stern TV
Christopher Lee,Treasure Island
Christopher Lee,Honeymoon Academy
Christopher Lee,Murder Story
Christopher Lee,Fall of the Eagles
Christopher Lee,The French Revolution
Christopher Lee,Around the World in 80 Days
Christopher Lee,The Return of the Musketeers
Christopher Lee,Dark Mission: Flowers of Evil
Christopher Lee,Olympus Force: The Key
Christopher Lee,Seitenblicke
Christopher Lee,The Girl
Christopher Lee,Mio in the Land of Faraway
Christopher Lee,Hammer: The Studio That Dripped Blood
Christopher Lee,The Disputation
Christopher Lee,Un métier de seigneur
Christopher Lee,Jocks
Christopher Lee,Shaka Zulu
Christopher Lee,Mask of Murder
Christopher Lee,Howling II: Stirba - Werewolf Bitch
Christopher Lee,The Many Faces of Sherlock Holmes
Christopher Lee,The Rosebud Beach Hotel
Christopher Lee,The Boy Who Left Home to Find Out About the Shivers
Christopher Lee,The Bengal Lancers!
Christopher Lee,The Far Pavilions
Christopher Lee,House of the Long Shadows
Christopher Lee,New Magic
Christopher Lee,The Return of Captain Invincible
Christopher Lee,Errol Flynn: Portrait of a Swashbuckler
Christopher Lee,The Last Unicorn
Christopher Lee,The Rank Charm School
Christopher Lee,Charles & Diana: A Royal Love Story
Christopher Lee,Faerie Tale Theatre
Christopher Lee,Massarati and the Brain
Christopher Lee,Safari 3000
Christopher Lee,Champs-Elysées
Christopher Lee,"Oops, Those Hollywood Bloopers!"
Christopher Lee,Goliath Awaits
Christopher Lee,An Eye for an Eye
Christopher Lee,Evil Stalks This House
Christopher Lee,Wanna Bet?
Christopher Lee,The Salamander
Christopher Lee,Once Upon a Spy
Christopher Lee,Serial
Christopher Lee,Desperate Moves
Chris Ryan,The Lord of the Rings: The Fellowship of the Ring
Chris Ryan,Jack of All Trades
Chris Ryan,A Twist in the Tale
Chris Ryan,Young Hercules
Chris Ryan,The Legend of William Tell
Chris Ryan,Future Shock
Chris Ryan,Waitress!
Chris Ryan,The Marvelous Land of Oz
Samuel E. Shore,The Lord of the Rings: The Two Towers
Samuel E. Shore,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,1941
Christopher Lee,Bear Island
Christopher Lee,Captain America II: Death Too Soon
Christopher Lee,Jaguar Lives!
Christopher Lee,Arabian Adventure
Christopher Lee,The Passage
Christopher Lee,The Pirate
Christopher Lee,Caravans
Christopher Lee,Circle of Iron
Christopher Lee,Return from Witch Mountain
Christopher Lee,Starship Invasions
Christopher Lee,The Occult: Mysteries Of The Supernatural
Christopher Lee,End of the World
Christopher Lee,Airport '77
Christopher Lee,Meatcleaver Massacre
Christopher Lee,Auf los geht's los
Christopher Lee,Charlie's Angels
Christopher Lee,Dracula and Son
Christopher Lee,Albino
Christopher Lee,To the Devil a Daughter
Christopher Lee,Killer Force
Christopher Lee,The Keeper
Christopher Lee,Saturday Night Live
Christopher Lee,Space: 1999
Christopher Lee,In Search of Dracula
Christopher Lee,The Man with the Golden Gun
Christopher Lee,The Four Musketeers
Christopher Lee,Diagnosis: Murder
Christopher Lee,The Three Musketeers
Christopher Lee,The Wicker Man
Christopher Lee,The Satanic Rites of Dracula
Christopher Lee,Orson Welles' Great Mysteries
Christopher Lee,Dark Places
Christopher Lee,Nothing But the Night
Christopher Lee,Poor Devil
Christopher Lee,The Creeping Flesh
Christopher Lee,Death Line
Christopher Lee,Horror Express
Christopher Lee,Dracula A.D. 1972
Christopher Lee,Vampir Cuadecuc
Christopher Lee,Umbracle
Christopher Lee,Hannie Caulder
Christopher Lee,"I, Monster"
Christopher Lee,Theatre Macabre
Christopher Lee,First Love
Christopher Lee,The House That Dripped Blood
Christopher Lee,Scars of Dracula
Christopher Lee,The Private Life of Sherlock Holmes
Christopher Lee,Julius Caesar
Andrew Stehlin,Dark Phoenix
Andrew Stehlin,Ghost in the Shell
Andrew Stehlin,Mechanic: Resurrection
Andrew Stehlin,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
Andrew Stehlin,The Shannara Chronicles
Andrew Stehlin,Killer Elite
Andrew Stehlin,30 Days of Night: Dark Days
Andrew Stehlin,Legend of the Seeker
Andrew Stehlin,"10,000 BC"
Andrew Stehlin,30 Days of Night
Andrew Stehlin,Hidden
Andrew Stehlin,The Lord of the Rings: The Fellowship of the Ring
Paul Shapcott,Game of Thrones: The Last Watch
Paul Shapcott,Legend of the Seeker
Paul Shapcott,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,Treffpunkte
Christopher Lee,Taste the Blood of Dracula
Christopher Lee,One More Time
Christopher Lee,Count Dracula
Christopher Lee,Eugenie
Christopher Lee,The Bloody Judge
Christopher Lee,Scream and Scream Again
Christopher Lee,The Magic Christian
Christopher Lee,The Oblong Box
Christopher Lee,The Castle of Fu Manchu
Christopher Lee,Quelle horreur mon saigneur Dracula
Christopher Lee,Curse of the Crimson Altar
Christopher Lee,Dracula Has Risen from the Grave
Christopher Lee,The Blood of Fu Manchu
Christopher Lee,The Devil Rides Out
Christopher Lee,Eve
Christopher Lee,The Movie Orgy
Christopher Lee,Theatre of Death
Christopher Lee,The Torture Chamber of Dr. Sadism
Christopher Lee,Five Golden Dragons
Christopher Lee,The Vengeance of Fu Manchu
Christopher Lee,Night of the Big Heat
Christopher Lee,The Brides of Fu Manchu
Christopher Lee,Circus of Fear
Christopher Lee,Rasputin: The Mad Monk
Christopher Lee,Dracula: Prince of Darkness
Christopher Lee,The Skull
Christopher Lee,The Face of Fu Manchu
Christopher Lee,Ten Little Indians
Christopher Lee,She
Christopher Lee,Dr. Terror's House of Horrors
Christopher Lee,The Gorgon
Christopher Lee,The Castle of the Living Dead
Christopher Lee,The Devil-Ship Pirates
Christopher Lee,Crypt of the Vampire
Christopher Lee,Horror!!!
Christopher Lee,The Whip and the Body
Christopher Lee,Horror Castle
Christopher Lee,Challenge the Devil
Christopher Lee,Sherlock Holmes and the Deadly Necklace
Christopher Lee,The Alfred Hitchcock Hour
Christopher Lee,The Devil's Agent
Christopher Lee,The Pirates of Blood River
Christopher Lee,Secret of the Red Orchid
Christopher Lee,Hercules in the Haunted World
Christopher Lee,The Devil's Daffodil
Mike Stearne,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,Taste of Fear
Christopher Lee,The Terror of the Tongs
Christopher Lee,The Avengers
Christopher Lee,Too Hot to Handle
Christopher Lee,The Hands of Orlac
Christopher Lee,The Two Faces of Dr. Jekyll
Christopher Lee,The City of the Dead
Christopher Lee,Beat Girl
Christopher Lee,Uncle Was A Vampire
Christopher Lee,The Mummy
Christopher Lee,The Treasure of San Teresa
Christopher Lee,The Man Who Could Cheat Death
Christopher Lee,The Hound of the Baskervilles
Christopher Lee,Stars in der Manege
Christopher Lee,One Step Beyond
Christopher Lee,Corridors of Blood
Christopher Lee,The Adventures of William Tell
Christopher Lee,Dracula
Christopher Lee,A Tale of Two Cities
Christopher Lee,Ivanhoe
Christopher Lee,Battle of the V-1
Christopher Lee,Bitter Victory
Christopher Lee,Manuela
Christopher Lee,The Curse of Frankenstein
Christopher Lee,Fortune Is a Woman
Christopher Lee,The Traitor
Christopher Lee,Ill Met by Moonlight
Christopher Lee,The Truth About Women
Christopher Lee,The Battle of the River Plate
Christopher Lee,Beyond Mombasa
Christopher Lee,Port Afrique
Christopher Lee,Alexander the Great
Christopher Lee,Colonel March of Scotland Yard
Christopher Lee,Private's Progress
Christopher Lee,Storm Over the Nile
Christopher Lee,Alias John Preston
Christopher Lee,The Cockleshell Heroes
Christopher Lee,The Adventures of the Scarlet Pimpernel
Christopher Lee,That Lady
Christopher Lee,Police Dog
Christopher Lee,The Dark Avenger
Christopher Lee,Contraband Spain
Christopher Lee,Cross-Roads
Christopher Lee,Moby Dick—Rehearsed
Christopher Lee,The Awakening
Christopher Lee,The Mirror and Markheim
Christopher Lee,Innocents in Paris
Christopher Lee,The Top and the Ball
Christopher Lee,Moulin Rouge
Christopher Lee,Babes in Bagdad
Christopher Lee,Paul Temple Returns
Christopher Lee,Top Secret
Christopher Lee,The Crimson Pirate
Christopher Lee,Valley of the Eagles
Christopher Lee,Captain Horatio Hornblower
Christopher Lee,Prelude to Fame
Christopher Lee,They Were Not Divided
Christopher Lee,Trottie True
Christopher Lee,Hamlet
Christopher Lee,Scott of the Antarctic
Christopher Lee,Penny and the Pownall Case
Christopher Lee,A Song for Tomorrow
Christopher Lee,One Night with You
Christopher Lee,Corridor of Mirrors
Larry Rew,Last Chancers
Larry Rew,Crucible of the Vampire
Larry Rew,Mis-drop
Larry Rew,Avatar
Larry Rew,Underworld: Rise of the Lycans
Larry Rew,Revelations
Larry Rew,The Lord of the Rings: The Fellowship of the Ring
Shane Rangi,Avatar: The Way of Water
Shane Rangi,Lowdown Dirty Criminals
Shane Rangi,Flip
Shane Rangi,Mortal Engines
Shane Rangi,Belief: The Possession of Janet Moses
Shane Rangi,The Chronicles of Narnia: The Voyage of the Dawn Treader
Shane Rangi,The Chronicles of Narnia: Prince Caspian
Shane Rangi,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Shane Rangi,The Lord of the Rings: The Return of the King
Shane Rangi,The Lord of the Rings: The Fellowship of the Ring
Vincent Roxburgh,Mad Max: Fury Road
Vincent Roxburgh,The Lord of the Rings: The Fellowship of the Ring
Blair Morton,The Lord of the Rings: The Fellowship of the Ring
David J. Muzzerall,Pete's Dragon
David J. Muzzerall,The Lord of the Rings: The Fellowship of the Ring
Andrew Munro,In Dark Places
Andrew Munro,Hillary
Andrew Munro,Friday Night Bites
Andrew Munro,Coverband
Andrew Munro,Erebus: Operation Overdue
Andrew Munro,Interim
Andrew Munro,The Lord of the Rings: The Fellowship of the Ring
Greg Morrison,The Lord of the Rings: The Fellowship of the Ring
Dean Morganty,The Light Between Oceans
Dean Morganty,The Lord of the Rings: The Two Towers
Dean Morganty,The Lord of the Rings: The Fellowship of the Ring
Tim McLachlan,Yogi Bear
Tim McLachlan,Tracker
Tim McLachlan,30 Days of Night
Tim McLachlan,The Lord of the Rings: The Fellowship of the Ring
Liz Merton,The Lord of the Rings: The Fellowship of the Ring
Sharon Maxwell,The Lord of the Rings: The Fellowship of the Ring
Bret McKenzie,Flight of the Conchords: Live in London
Bret McKenzie,Bajillion Dollar Propertie$
Bret McKenzie,Austenland
Bret McKenzie,The Hobbit: An Unexpected Journey
Bret McKenzie,Two Little Boys
Bret McKenzie,The Outback
Bret McKenzie,Conan
Bret McKenzie,Diagnosis: Death
Bret McKenzie,Flight of the Conchords: On Air
Bret McKenzie,Largo
Bret McKenzie,Just For Laughs: Over The Edge
Bret McKenzie,Flight of the Conchords
Bret McKenzie,"Tim and Eric Awesome Show, Great Job!"
Bret McKenzie,Flight of the Conchords: A Texan Odyssey
Bret McKenzie,One Night Stand: Flight of the Conchords
Bret McKenzie,Futile Attraction
Bret McKenzie,Frodo Is Great... Who Is That?!!
Bret McKenzie,The Lord of the Rings: The Return of the King
Bret McKenzie,The Lord of the Rings: The Fellowship of the Ring
Bret McKenzie,The Simpsons
Richard Maybery,The Lord of the Rings: The Fellowship of the Ring
Marta Martí,The Lord of the Rings: The Fellowship of the Ring
Peter Lyon,The Making of The Fellowship of the Ring
Peter Lyon,The Lord of the Rings: The Fellowship of the Ring
Peter Lyon,A Passage to Middle-earth: Making of 'Lord of the Rings'
Peter Lyon,Quest for the Ring
Alan Lee,Recreating the Eighth Wonder: The Making of 'King Kong'
Alan Lee,The Making of The Fellowship of the Ring
Alan Lee,Lord of the Brush
Alan Lee,The Lord of the Rings: The Two Towers
Alan Lee,Beyond the Movie: The Fellowship of the Ring
Alan Lee,The Lord of the Rings: The Fellowship of the Ring
Alan Lee,A Passage to Middle-earth: Making of 'Lord of the Rings'
Sacha Lee,The Lord of the Rings: The Fellowship of the Ring
Greg Lane,The Lord of the Rings: The Fellowship of the Ring
Thomas Robins,The Hobbit: An Unexpected Journey
Thomas Robins,The Lord of the Rings: The Return of the King
Thomas Robins,The Lord of the Rings: The Fellowship of the Ring
Thomas Robins,Forgotten Silver
Grant Roa,Lowdown Dirty Criminals
Grant Roa,The Secret of the Whales
Grant Roa,Separation City
Grant Roa,Whale Rider
Grant Roa,The Lord of the Rings: The Fellowship of the Ring
Stu Johnson,The Lord of the Rings: The Fellowship of the Ring
Lani Jackson,The Lord of the Rings: The Two Towers
Lani Jackson,The Lord of the Rings: The Fellowship of the Ring
Lani Jackson,A Passage to Middle-earth: Making of 'Lord of the Rings'
Ralph Johnson,The Lord of the Rings: The Fellowship of the Ring
Peter Jackson,Peter Jackson's Military Treasures
Peter Jackson,Mortal Engines
Peter Jackson,The Late Show with Stephen Colbert
Peter Jackson,The Hobbit: The Battle of the Five Armies
Peter Jackson,Last Week Tonight with John Oliver
Peter Jackson,"River Deep, Mountain High: James Nesbitt in New Zealand"
Peter Jackson,The Hobbit: The Desolation of Smaug
